<tbl>
<tt> Veröffentlichungsart und Inhalt
<dt> 1140.tab
<tag> 1140
<row>Amtsblatt QQ aa
<row>Abstract QQ ab
<row>Anzeigenblatt QQ az
<row>Bibliographie QQ bi
<row>Bibliothekskatalog QQ kt
<row>Datenbank QQ da
<row>Directory QQ di
<row>Entscheidungssammlung QQ es
<row>Fachzeitung QQ ft
<row>Firmenzeitschrift/-zeitung QQ fz
<row>Fortschrittsbericht QQ fb
<row>Haushaltsplan QQ ha
<row>Illustrierte QQ il
<row>Index QQ in
<row>Kongressbericht QQ ko
<row>Magazin QQ mg
<row>Messeblatt  QQ me
<row>Referateorgan  QQ rf
<row>Report-Serie QQ re
<row>Schulschrift QQ sc
<row>Statistik QQ st
<row>Website QQ ws
<row>Übersetzungszeitschrift QQ ub
<row>Zeitungen für die allgemeine Öffentlichkeit QQ ao
<row>Zeitungen für eine eingeschränkte Öffentlichkeit QQ eo
<row>Überregionale Zeitungen QQ up
<row>Regionale Zeitungen QQ rp
<row>Lokale Zeitungen QQ lp
</tbl>
