<tbl>
<tt> Code(s) für Sprachen des Textes
<dt> 1500.tab
<tag> 1500
<row>Abchasisch QQ /1abk
<row>Aceh-Sprache QQ /1ace
<row>Acholi-Sprache QQ /1ach
<row>Adangme-Sprache QQ /1ada
<row>Afrihili QQ /1afh
<row>Afrikaans QQ /1afr
<row>Ägyptisch QQ /1egy
<row>Akan-Sprache QQ /1aka
<row>Akkadisch QQ /1akk
<row>Albanisch QQ /1alb
<row>Aleutisch QQ /1ale
<row>Algonkin-Sprachen QQ /1alg
<row>Altaische Sprachen QQ /1tut
<row>Altäthiopisch QQ /1gez
<row>Altenglisch QQ /1ang
<row>Altfranzösisch QQ /1fro
<row>Althochdeutsch QQ /1goh
<row>Altirisch QQ /1sga
<row>Altnorwegisch QQ /1non
<row>Altokzitanisch QQ /1pro
<row>Altpersisch QQ /1peo
<row>Amharisch QQ /1amh
<row>Apachen-Sprache QQ /1apa
<row>Arabisch QQ /1ara
<row>Aramäisch QQ /1arc
<row>Arapaho-Sprache QQ /1arp
<row>Arauka-Sprachen QQ /1arn
<row>Arawak-Sprachen QQ /1arw
<row>Armenisch QQ /1arm
<row>Aserbaidschanisch QQ /1aze
<row>Assamesisch QQ /1asm
<row>Athapaskische Sprachen QQ /1ath
<row>Australische Sprachen QQ /1aus
<row>Austronesische Sprachen (Andere) QQ /1map
<row>Avestisch QQ /1ave
<row>Awadhī QQ /1awa
<row>Awarisch QQ /1ava
<row>Aymará-Sprache QQ /1aym
<row>Bahasa Indonesia QQ /1ind
<row>Balinesisch QQ /1ban
<row>Baltische Sprachen (Andere) QQ /1bat
<row>Bambara-Sprache QQ /1bam
<row>Bamileke-Sprache QQ /1bai
<row>Banda-Sprache <Ubangi-Sprachen> QQ /1bad
<row>Bantusprachen (Andere) QQ /1bnt
<row>Basaa-Sprache QQ /1bas
<row>Baschkirisch QQ /1bak
<row>Baskisch QQ /1baq
<row>Batak-Sprache QQ /1btk
<row>Beach-la-mar QQ /1bis
<row>Bedauye QQ /1bej
<row>Belutschisch QQ /1bal
<row>Bemba-Sprache QQ /1bem
<row>Bengali QQ /1ben
<row>Berbersprachen (Andere) QQ /1ber
<row>Bhojpurī QQ /1bho
<row>Bihari QQ /1bih
<row>Bikol-Sprache QQ /1bik
<row>Bini-Sprache QQ /1bin
<row>Birmanisch QQ /1bur
<row>Blackfoot-Sprache QQ /1bla
<row>Bokmål QQ /1nob
<row>Bosnisch QQ /1bos
<row>Braj-Bhakha QQ /1bra
<row>Bretonisch QQ /1bre
<row>Bugi-Sprache QQ /1bug
<row>Bulgarisch QQ /1bul
<row>Burjatisch QQ /1bua
<row>Caddo-Sprachen QQ /1cad
<row>Cebuano QQ /1ceb
<row>Chamorro-Sprache QQ /1cha
<row>Cham-Sprachen QQ /1cmc
<row>Cherokee-Sprache QQ /1chr
<row>Cheyenne-Sprache QQ /1chy
<row>Chibcha-Sprachen QQ /1chb
<row>Chinesisch QQ /1chi
<row>Chinook-Jargon QQ /1chn
<row>Chipewyan QQ /1chp
<row>Choctaw-Sprache QQ /1cho
<row>Cree-Sprache QQ /1cre
<row>Dajakisch QQ /1day
<row>Dakota-Sprache QQ /1dak
<row>Danakil-Sprache QQ /1aar
<row>Dänisch QQ /1dan
<row>Dari QQ /1per
<row>Delaware-Sprache QQ /1del
<row>Deutsch QQ /1ger
<row>Dinka-Sprache QQ /1din
<row>Dogrī QQ /1doi
<row>Dogrib-Sprache QQ /1dgr
<row>Drawidische Sprachen (Andere) QQ /1dra
<row>Duala-Sprachen QQ /1dua
