<tbl>
<tt> Form des Werks und der Expression 
<dt> 380.tab
<tag> 380
<row>adagietto QQ !1011387301! QQ Adagietto
<row>adagio QQ !944336124! QQ Adagio
<row>agnus Dei QQ !041416287! QQ Agnus dei
<row>airs QQ !041416732! QQ Air
<row>allegretto QQ !1011387328! QQ Allegretto
<row>allegro QQ !042579414! QQ Allegro
<row>allm QQ !1011387425! QQ Allegro Moderato
<row>allv QQ !1011387441! QQ Vivace
<row>allem QQ !041962923! QQ Allemande
<row>and QQ !992540585! QQ Andante
<row>andno QQ !101138731X! QQ Andantino
<row>angl QQ !041424573! QQ Anglaise
<row>anth QQ !041426185! QQ Anthem
<row>anti QQ !041427300! QQ Antiphon
<row>arab QQ !943450284! QQ Arabeske <Musik>
<row>arie QQ !041430069! QQ Arie
<row>ariet QQ !1008993085! QQ Ariette
<row>baga QQ !943450322! QQ Bagatelle <Musik>
<row>ball QQ !040043436! QQ Ballade
<row>bark QQ !943451329! QQ Barkarole
<row>berc QQ !946005109! QQ Berceuse
<row>bic QQ !041937929! QQ Bicinium
<row>bol QQ !94345137X! QQ Bolero <Musik>
<row>burl QQ !041470265! QQ Burleske <Musik>
<row>canc QQ !1008993298! QQ Canción
<row>capr QQ !943451434! QQ Capriccio <Musik>
<row>caril QQ !04195341X! QQ Carillon
<row>chac QQ !041475275! QQ Chaconne
<row>chan QQ !040097447! QQ Chanson
<row>char QQ !041475844! QQ Charakterstück
<row>chb QQ !04147886X! QQ Choralbearbeitung
<row>chl QQ !041478835! QQ Choral
<row>chf QQ !94602121X! QQ Choralfantasie
<row>chp QQ !1008993824! QQ Choralpartita
<row>chv QQ !041478894! QQ Choralvorspiel
<row>cong QQ !041482654! QQ Concerto grosso
<row>concno QQ !948519843! QQ Konzertstück
<row>cour QQ !963935518! QQ Courante
<row>credo QQ !041483642! QQ Credo
<row>deut QQ !041963237! QQ Deutscher Tanz
<row>dife QQ !130715166! QQ Diferencia
<row>div QQ !042872898! QQ Divertimento
<row>dqu QQ !1008994022! QQ Doppelquartett
<row>duet QQ !041386310! QQ Duett
<row>dumki QQ !042207533! QQ Dumka
<row>duos QQ !041386329! QQ Duo
<row>ecos QQ !972098852! QQ Écossaise
<row>eleg QQ !04151713X! QQ Elegie
<row>etud QQ !04123166X! QQ Etüde
<row>fan QQ !041536827! QQ Fantasie <Musik>
<row>fanst QQ !041475844! QQ Charakterstück
<row>fin QQ !04125225X! QQ Finale
<row>fug QQ !041556143! QQ Fuge
<row>fughet QQ !043151833! QQ Fughetta
<row>fur QQ !972247572! QQ Furiant <Tanz>
<row>gai QQ !945348037! QQ Galliarde
<row>gal QQ !943425506! QQ Galopp <Musik>
<row>gav QQ !946022895! QQ Gavotte
<row>ges QQ !040204707! QQ Gesang
<row>gig QQ !943405459! QQ Gigue
<row>glo QQ !041576527! QQ Gloria
<row>grad QQ !040217493! QQ Graduale
<row>grav QQ !1011387395! QQ Grave <Musik>
<row>hum QQ !042974747! QQ Humoreske <Musik>
<row>hym QQ !04125676X! QQ Hymne
<row>impr QQ !94342237X! QQ Impromptu
<row>interl QQ !943739152! QQ Intermezzo <Charakterstück>
<row>intra QQ !943422299! QQ Intrada
<row>introd QQ !041621913! QQ Introduktion
<row>introi QQ !04162193X! QQ Introitus
<row>inv QQ !041622170! QQ Invention
<row>kamk QQ !1008995797! QQ Kammerkonzert
<row>kamsi QQ !943383935! QQ Kammersinfonie
<row>kamso QQ !1008996270! QQ Kammersonate
<row>kano QQ !041631978! QQ Kanon <Musik>
<row>kanta QQ !040295095! QQ Kantate
<row>kanti QQ !955289661! QQ Kantilene
<row>kanz QQ !043272150! QQ Kanzone <Musik>
<row>kanzonetten QQ !04163229X! QQ Kanzonette
<row>kass QQ !946826889! QQ Kassation <Musik>
<row>kav QQ !943465710! QQ Kavatine
<row>kircSon QQ !1008996459! QQ Kirchensonate
<row>klavst QQ !040309932! QQ Klaviermusik
<row>kontert QQ !041483006! QQ Contredanse
<row>konzsin QQ !042054613! QQ Symphonie concertante
<row>konz QQ !040323595! QQ Konzert
<row>konzsa QQ !948519843! QQ Konzertstück
<row>konzst QQ !948519843! QQ Konzertstück
<row>kyr QQ !041662822! QQ Kyrie eleison
<row>landl QQ !041664108! QQ Ländler
<row>largh QQ !1011387298! QQ Larghetto
<row>largo QQ !043253466! QQ Largo
<row>lent QQ !1011387417! QQ Lento
<row>lied QQ !040356698! QQ Lied
<row>liedow QQ !943374480! QQ Lied ohne Worte
<row>lit QQ !041678362! QQ Litanei
<row>mad QQ !041684524! QQ Madrigal
<row>mag QQ !040370410! QQ Magnifikat
<row>marsch QQ !041689763! QQ Marschmusik
<row>maz QQ !042765080! QQ Mazurka
<row>mel QQ !041392337! QQ Melodie
<row>men QQ !041694449! QQ Menuett
<row>mes QQ !041290313! QQ Messe <Musik>
<row>min QQ !041475844 ! QQ Charakterstück
<row>mod QQ !1011387425! QQ Moderato
<row>mommus QQ !943784050! QQ Moment musical
<row>morc QQ !1009010409! QQ Instrumentalstück
<row>mot QQ !040403572! QQ Motette
<row>mus QQ !948474688! QQ Danse Musette
<row>noc QQ !041720806! QQ Notturno
<row>noe QQ !041719689! QQ Noël
<row>non QQ !1009010581! QQ Nonett
<row>not QQ !041720806! QQ Notturno
<row>nov QQ !946464944! QQ Novellette
<row>od QQ !041723597! QQ Ode
<row>off QQ !041724984! QQ Offertorium
<row>okt QQ !990739945! QQ Oktett
<row>ost QQ !041729560! QQ Ostinato
<row>ouv QQ !04172996X! QQ Ouvertüre
<row>pad QQ !951618555! QQ Padoana
<row>pang QQ !963613804! QQ Pange lingua
<row>para QQ !960280642! QQ Paraphrase <Musik>
<row>parti QQ !042893186! QQ Partita
<row>partS QQ !1009010921! QQ Partsong
<row>passa QQ !041734769! QQ Passacaglia
<row>past QQ !041735129! QQ Pastorale
<row>pastorellen QQ !04075927X! QQ Pastorelle
<row>pav QQ !943425670! QQ Pavane
<row>pesni QQ !040356698! QQ Lied
