<tbl>
<tt> Beziehungskennzeichen 4243
<dt> 4243.tab
<tag> 4243
<row>Erscheint mit QQ Erscheint mit
<row>CD-Ausgabe QQ Erscheint auch als$nCD-Ausgabe
<row>CD-ROM-Ausgabe QQ Erscheint auch als$nCD-ROM-Ausgabe
<row>Disketten-Ausgabe QQ Erscheint auch als$nDisketten-Ausgabe
<row>DVD-Audio-Ausgabe QQ Erscheint auch als$nDVD-Audio-Ausgabe
<row>DVD-ROM-Ausgabe QQ Erscheint auch als$nDVD-ROM-Ausgabe
<row>DVD-Video-Ausgabe QQ Erscheint auch als$nDVD-Video-Ausgabe
<row>Druck-Ausgabe QQ Erscheint auch als$nDruck-Ausgabe
<row>E-Paper-Ausgabe QQ Erscheint auch als$nE-Paper-Ausgabe
<row>Mikroform-Ausgabe QQ Erscheint auch als$nMikroform-Ausgabe
<row>Online-Ausgabe QQ Erscheint auch als$nOnline-Ausgabe
<row>Schallplatten-Ausgabe QQ Erscheint auch als$nSchallplatten-Ausgabe
<row>USB-Stick-Ausgabe QQ Erscheint auch als$nUSB-Stick-Ausgabe
</tbl>
