<tbl>
<tt> FID-Kennzeichen
<dt> 5056.tab
<tag> 5056
<row>FID-AAC-DE-188-144 QQ [FID]AAC$qDE-188-144
<row>FID-AAC-DE-7 QQ [FID]AAC$qDE-7
<row>FID-AFRIKA-DE-30 QQ [FID]AFRIKA$qDE-30
<row>FID-ALT-AY-DE-16 QQ [FID]ALT-AY$qDE-16
<row>FID-ALT-DE-12 QQ [FID]ALT$qDE-12
<row>FID-ALT-KA-DE-16 QQ [FID]ALT-KA$qDE-16
<row>FID-ASIEN-DE-16 QQ [FID]ASIEN$qDE-16
<row>FID-ASIEN-DE-1a QQ [FID]ASIEN$qDE-1a
<row>FID-AVL-DE-30 QQ [FID]AVL$qDE-30
<row>FID-BENELUX-DE-6 QQ [FID]BENELUX$qDE-6
<row>FID-BIFO-DE-29 QQ [FID]BIFO$qDE-29
<row>FID-BIFO-DE-B478 QQ [FID]BIFO$qDE-B478
<row>FID-BIFO-DE-Bs78 QQ [FID]BIFO$qDE-Bs78
<row>FID-BIFO-HF-DE-11 QQ [FID]BIFO-HF$qDE-11
<row>FID-BIODIV-DE-30 QQ [FID]BIODIV$qDE-30
<row>FID-FINNUG-DE-7 QQ [FID]FINNUG$qDE-7
<row>FID-GEO-DE-7 QQ [FID]GEO$qDE-7
<row>FID-GEO-DE-B103 QQ [FID]GEO$qDE-B103
<row>FID-HIST-DE-12 QQ [FID]HIST$qDE-12
<row>FID-HIST-DE-210 QQ [FID]HIST$qDE-210
<row>FID-INTRECHT-DE-1a QQ [FID]INTRECHT$qDE-1a
<row>FID-JUDAICA-DE-30 QQ [FID]JUDAICA$qDE-30
<row>FID-KARTEN-DE-1a QQ [FID]KARTEN$qDE-1a
<row>FID-KRIM-DE-21 QQ [FID]KRIM$qDE-21
<row>FID-KUNST-DE-14 QQ [FID]KUNST$qDE-14
<row>FID-KUNST-DE-16 QQ [FID]KUNST$qDE-16
<row>FID-LATAM-DE-204 QQ [FID]LATAM$qDE-204
<row>FID-LING-DE-30 QQ [FID]LING$qDE-30
<row>FID-MATHE-DE-7 QQ [FID]MATHE$qDE-7
<row>FID-MATHE-DE-89 QQ [FID]MATHE$qDE-89
<row>FID-MEDIEN-DE-15 QQ [FID]MEDIEN$qDE-15
<row>FID-MONTAN-DE-105 QQ [FID]MONTAN$qDE-105
<row>FID-MUS-DE-12 QQ [FID]MUS$qDE-12
<row>FID-NAHOST-DE-3 QQ [FID]NAHOST$qDE-3
<row>FID-NORD-DE-8 QQ [FID]NORD$qDE-8
<row>FID-OST-DE-12 QQ [FID]OST$qDE-12
<row>FID-PHARM-DE-84 QQ [FID]PHARM$qDE-84
<row>FID-POL-DE-46 QQ [FID]POL$qDE-46
<row>FID-REWI-DE-21 QQ [FID]REWI$qDE-21
<row>FID-ROM-DE-18 QQ [FID]ROM$qDE-18
<row>FID-ROM-DE-5 QQ [FID]ROM$qDE-5
<row>FID-SKA-DE-11 QQ [FID]SKA$qDE-11
<row>FID-SLAW-DE-1a QQ [FID]SLAW$qDE-1a
<row>FID-SOZIO-DE-38 QQ [FID]SOZIO$qDE-38
<row>FID-THEATER-DE-30 QQ [FID]THEATER$qDE-30
<row>FID-THEO-DE-21 QQ [FID]THEO$qDE-21
</tbl>
